        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604141200,   1.219,   1.479,  -0.100,   0.360,   1.479,  -0.100,   1.479,  -0.100,   1.479
202604141206,   1.229,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141212,   1.238,   1.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141218,   1.245,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141224,   1.251,   1.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141230,   1.255,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141236,   1.258,   1.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141242,   1.260,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141248,   1.259,   1.528,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141254,   1.258,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141300,   1.255,   1.590,  -0.100,   0.435,   1.590,  -0.100,   1.590,  -0.100,   1.590
202604141306,   1.251,   1.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141312,   1.245,   1.580,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141318,   1.238,   1.571,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141324,   1.229,   1.557,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141330,   1.219,   1.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141336,   1.208,   1.538,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141342,   1.196,   1.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141348,   1.183,   1.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141354,   1.169,   1.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141400,   1.153,   1.420,  -0.100,   0.367,   1.420,  -0.100,   1.420,  -0.100,   1.420
202604141406,   1.137,   1.390,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141412,   1.120,   1.371,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141418,   1.102,   1.338,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141424,   1.083,   1.298,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141430,   1.063,   1.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141436,   1.043,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141442,   1.022,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141448,   1.000,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141454,   0.978,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141500,   0.956,   1.039,  -0.100,   0.183,   1.039,  -0.100,   1.039,   0.000,   1.139
202604141506,   0.933,   0.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141512,   0.910,   0.970,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141518,   0.887,   0.941,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141524,   0.863,   0.898,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141530,   0.839,   0.869,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141536,   0.815,   0.839,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141542,   0.791,   0.819,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141548,   0.766,   0.790,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141554,   0.742,   0.760,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141600,   0.717,   0.698,  -0.100,   0.081,   0.698,  -0.100,   0.698,   0.000,   0.798
202604141606,   0.693,   0.688,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141612,   0.669,   0.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141618,   0.644,   0.639,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141624,   0.620,   0.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141630,   0.596,   0.590,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141636,   0.572,   0.580,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141642,   0.548,   0.560,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141648,   0.525,   0.541,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141654,   0.501,   0.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141700,   0.478,   0.488,   0.000,   0.010,   0.488,  -0.100,   0.388,   0.000,   0.488
202604141706,   0.455,   0.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141712,   0.432,   0.439,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141718,   0.410,   0.429,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141724,   0.388,   0.400,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141730,   0.366,   0.370,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141736,   0.344,   0.341,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141742,   0.323,   0.331,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141748,   0.302,   0.331,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141754,   0.282,   0.331,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141800,   0.262,   0.298,   0.000,   0.036,   0.298,  -0.100,   0.198,   0.000,   0.298
202604141806,   0.242,   0.268,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141812,   0.223,   0.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141818,   0.204,   0.229,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141824,   0.186,   0.209,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141830,   0.168,   0.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141836,   0.151,   0.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141842,   0.135,   0.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141848,   0.120,   0.160,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141854,   0.105,   0.141,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141900,   0.091,   0.131,   0.000,   0.040,   0.131,   0.000,   0.131,   0.000,   0.131
202604141906,   0.078,   0.131,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141912,   0.067,   0.111,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141918,   0.056,   0.111,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141924,   0.046,   0.111,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141930,   0.038,   0.111,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141936,   0.031,   0.111,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141942,   0.026,   0.121,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141948,   0.022,   0.098,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604141954,   0.020,   0.111,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604142000,   0.020,   0.141,   0.000,   0.121,   0.141,   0.000,   0.141,   0.000,   0.141
202604142006,   0.022,   0.160,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604142012,   0.026,   0.141,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604142018,   0.032,   0.150,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
